FIGI,Name,Ticker,Exchange Code,Security Type,Market Sector,FIGI Composite,Share Class,Security Description,Security Type 2,bloomberg_url,exists_on_bloomberg
BBG00FGM9W82,OUTDOORZY SA,OUT,PW,Common Stock,Equity,BBG00FGM9W73,BBG00FGM9WC7,OUT,Common Stock,https://www.bloomberg.com/quote/OUT:PZ,True
BBG00GD1GML8,MAXCOM SA,MXC,PW,Common Stock,Equity,BBG007JQ2Z24,BBG007JQ2Z33,MXC,Common Stock,https://www.bloomberg.com/quote/MXC:PZ,True
BBG00GFMVB46,CAPITEA SA,CAP,PW,Common Stock,Equity,BBG004V154Y3,BBG004V154Z2,CAP,Common Stock,https://www.bloomberg.com/quote/CAP:PZ,True
BBG00GW301F3,NESTMEDIC SA,NST,PW,Common Stock,Equity,BBG00GW301D5,BBG00GW301J9,NST,Common Stock,https://www.bloomberg.com/quote/NST:PZ,True
BBG00HFXVKQ6,SCOPE FLUIDICS SA,SCP,PW,Common Stock,Equity,BBG00HFXVKP7,BBG00HFXVKT3,SCP,Common Stock,https://www.bloomberg.com/quote/SCP:PZ,True
BBG00HMXWRF4,BERG HOLDING SA,BRH,PW,Common Stock,Equity,BBG00HMXWRD6,BBG00HMXWRJ0,BRH,Common Stock,https://www.bloomberg.com/quote/BRH:PZ,True
BBG00HPS3M10,XTPL SA,XTP,PW,Common Stock,Equity,BBG00HPS3M01,BBG00HPS3M47,XTP,Common Stock,https://www.bloomberg.com/quote/XTP:PZ,True
BBG00J5LXBC2,GREMI MEDIA SA,GME,PW,Common Stock,Equity,BBG00J242DC3,BBG00J242DD2,GME,Common Stock,https://www.bloomberg.com/quote/GME:PZ,True
BBG00JDY67C4,CYBERFLKS SA,CBF,PW,Common Stock,Equity,BBG00JDY67B5,BBG00JDY67G0,CBF,Common Stock,https://www.bloomberg.com/quote/CBF:PZ,True
BBG00JKSCW91,MARVIPOL DEVELOPMENT SA,MVP,PW,Common Stock,Equity,BBG00JGP5BW0,BBG00JGP5BY8,MVP,Common Stock,https://www.bloomberg.com/quote/MVP:PZ,True
BBG00KP793W1,TEN SQUARE GAMES SA,TEN,PW,Common Stock,Equity,BBG00KP793Q8,BBG00KP793S6,TEN,Common Stock,https://www.bloomberg.com/quote/TEN:PZ,True
BBG00KY4F8R6,ML SYSTEM SA,MLS,PW,Common Stock,Equity,BBG00J2413D5,BBG00J2413F3,MLS,Common Stock,https://www.bloomberg.com/quote/MLS:PZ,True
